Date	Time	Temperature
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	31
28-03-2017	20:28:00	31
28-03-2017	20:28:00	31
28-03-2017	20:28:00	31
28-03-2017	20:28:00	32
28-03-2017	20:28:00	31
28-03-2017	20:28:00	31
28-03-2017	20:28:00	31
28-03-2017	20:28:00	31
28-03-2017	20:28:00	31
28-03-2017	20:28:00	31
28-03-2017	20:28:00	31
28-03-2017	20:28:00	31
28-03-2017	20:28:00	31
28-03-2017	20:28:00	31
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	31
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:28:00	32
28-03-2017	20:29:00	32
28-03-2017	20:29:00	32
28-03-2017	20:29:00	31
28-03-2017	20:29:00	32
28-03-2017	20:29:00	32
28-03-2017	20:29:00	31
28-03-2017	20:29:00	32
28-03-2017	20:29:00	31
28-03-2017	20:29:00	32
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	32
28-03-2017	20:29:00	32
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	32
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	32
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:29:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	32
28-03-2017	20:30:00	31
28-03-2017	20:30:00	32
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	31
28-03-2017	20:30:00	32
28-03-2017	20:30:00	32
28-03-2017	20:30:00	32
28-03-2017	20:30:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	33
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	32
28-03-2017	20:31:00	33
28-03-2017	20:31:00	32
28-03-2017	20:32:00	32
28-03-2017	20:32:00	32
28-03-2017	20:32:00	33
28-03-2017	20:32:00	32
28-03-2017	20:32:00	32
28-03-2017	20:32:00	33
28-03-2017	20:32:00	32
28-03-2017	20:32:00	32
28-03-2017	20:32:00	33
28-03-2017	20:32:00	32
28-03-2017	20:32:00	32
28-03-2017	20:32:00	32
28-03-2017	20:32:00	32
28-03-2017	20:32:00	32
28-03-2017	20:32:00	33
28-03-2017	20:32:00	32
28-03-2017	20:32:00	32
28-03-2017	20:32:00	33
28-03-2017	20:32:00	32
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
28-03-2017	20:32:00	32
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
28-03-2017	20:32:00	32
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
28-03-2017	20:32:00	33
