0,0
0.05,0
0.1,0
0.15,0
0.2,0
0.25,0
0.3,0
0.35,0
0.4,0
0.45,0
0.5,0
0.55,0
0.6,0
0.65,0
0.7,0
0.75,0
0.8,0
0.85,0
0.9,0
0.95,0
1,0
1.05,0
1.1,0
1.15,19
1.2,40
1.25,56
1.3,72
1.35,88
1.4,107
1.45,125
1.5,144
1.55,159
1.6,174
1.65,190
1.7,205
1.75,221
1.8,237
1.85,252
1.9,270
1.95,285
2,300
2.05,316
2.1,331
2.15,347
2.2,363
2.25,378
2.3,395
2.35,410
2.4,425
2.45,441
2.5,456
2.55,472
2.6,488
2.65,503
2.7,521
2.75,536
2.8,551
2.85,567
2.9,582
2.95,598
3,614
3.05,629
3.1,646
3.15,661
3.2,676
3.25,692
3.3,707
3.35,723
3.4,739
3.45,754
3.5,771
3.55,786
3.6,801
3.65,817
3.7,832
3.75,848
3.8,864
3.85,879
3.9,896
3.95,911
4,926
4.05,942
4.1,957
4.15,973
4.2,989
4.25,1004
4.3,1022
4.35,1037
4.4,1052
4.45,1068
4.5,1083
4.55,1092
4.6,1092
4.65,1092
4.7,1092
4.75,1092
4.8,1092
4.85,1092
4.9,1092
4.95,1092
5,1092
5.05,1092
5.1,1092
5.15,1092
5.2,1092
5.25,1092
5.3,1092
5.35,1092
5.4,1092
5.45,1092
5.5,1092
